date,,2021-09-25_FY,2020-09-26_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2016-09-24_FY,2015-09-26_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-09-24_FY,2010-09-25_FY,2009-09-26_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-09-24_FY,2004-09-25_FY,2003-09-27_FY,2002-09-28_FY,2001-09-29_FY,2000-09-30_FY,1999-09-25_FY,1998-09-25_FY,1997-09-26_FY,1996-09-27_FY,1995-09-29_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY,1988-09-30_FY,1987-09-30_FY,1986-09-30_FY,1985-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,11284000000.0,11056000000.0,12547000000.0,10903000000.0,10157000000.0,10505000000.0,11257000000.0,7946000000.0,6757000000.0,3277000000.0,1814000000.0,1027000000.0,703000000.0,473000000.0,317000000.0,225000000.0,179000000.0,150000000.0,113000000.0,118000000.0,102000000.0,84000000.0,85000000.0,111000000.0,118000000.0,156000000.0,127000000.0,167958000.0,166100000.0,217200000.0,204400000.0,202700000.0,124800000.0,77700000.0,70500000.0,51100000.0,41800000.0
,EBITDA,123136000000.0,81020000000.0,81860000000.0,87046000000.0,76569000000.0,73333000000.0,84505000000.0,61813000000.0,57048000000.0,59040000000.0,36019000000.0,19567000000.0,8687000000.0,7368000000.0,5325000000.0,3043000000.0,1994000000.0,536000000.0,214000000.0,216000000.0,78000000.0,1197000000.0,808000000.0,502000000.0,-575000000.0,-1079000000.0,849000000.0,707897000.0,305800000.0,1072700000.0,704100000.0,981200000.0,869100000.0,733900000.0,480900000.0,360900000.0,161800000.0
,EBITDARatio,0.336605461200546,0.295138699160337,0.314635590028212,0.327739603531693,0.334021131245801,0.340072992362235,0.36157285582868,0.338154763532919,0.333789713884501,0.377233112684336,0.332742103853153,0.299992334227673,0.237758984043572,0.226854275070045,0.221819545113722,0.157545948744499,0.14313401765846,0.0647421186133591,0.0344772031577252,0.0376175548589342,0.0145440984523588,0.149943630214205,0.131724812520378,0.0844975593334455,-0.0812032198841972,-0.109732533306214,0.0767492316036883,0.0770395488046903,0.0383352137395011,0.151372327665279,0.111606010651788,0.176525618883132,0.164477668433005,0.180257405315125,0.180714742023975,0.189757610810242,0.0843455142574154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,108949000000.0,66288000000.0,63930000000.0,70898000000.0,61344000000.0,60024000000.0,71230000000.0,52503000000.0,48999000000.0,55241000000.0,33790000000.0,18385000000.0,7658000000.0,6275000000.0,4409000000.0,2453000000.0,1650000000.0,349000000.0,25000000.0,45000000.0,-344000000.0,620000000.0,386000000.0,261000000.0,-778000000.0,-1204000000.0,661000000.0,395419000.0,110400000.0,805700000.0,447300000.0,712000000.0,634300000.0,620300000.0,371500000.0,273500000.0,147300000.0
,operatingIncomeRatio,0.298529045943737,0.244398302460703,0.252665523841737,0.274489354091756,0.27957894553164,0.284605289395703,0.3102710566288,0.292584589294018,0.293458545433269,0.356294885884428,0.315984443274303,0.284246837868915,0.218518214412787,0.212291018812156,0.208614513038407,0.145896971265856,0.130284975952911,0.0462616258002174,0.0148219751893024,0.0151515151515152,-0.00969606563490584,0.136790680195415,0.110205412455168,0.0553778825113617,-0.147578025702584,-0.131699379639988,0.0609293075393238,0.0544455022599379,0.0175128494421462,0.120722500529175,0.0792068222165864,0.14005829015544,0.140859197577593,0.161173060863585,0.154221938296193,0.16288974183711,0.0625553875827556
,totalOtherIncomeExpensesNet,-258000000.0,-803000000.0,-1807000000.0,-2005000000.0,-2745000000.0,-1348000000.0,-1285000000.0,-980000000.0,-1156000000.0,-522000000.0,-415000000.0,-155000000.0,-326000000.0,-620000000.0,-599000000.0,-365000000.0,-165000000.0,-34000000.0,-67000000.0,-42000000.0,-292000000.0,-472000000.0,-290000000.0,-68000000.0,267000000.0,91000000.0,-13000000.0,-104867000.0,-29300000.0,-49800000.0,-52400000.0,-66500000.0,-110000000.0,-35900000.0,-38900000.0,-36300000.0,27300000.0
,incomeBeforeTax,109207000000.0,67091000000.0,65737000000.0,72903000000.0,64089000000.0,61372000000.0,72515000000.0,53483000000.0,50155000000.0,55763000000.0,34205000000.0,18540000000.0,7984000000.0,6895000000.0,5008000000.0,2818000000.0,1815000000.0,383000000.0,92000000.0,87000000.0,-52000000.0,1092000000.0,676000000.0,329000000.0,-1045000000.0,-1295000000.0,674000000.0,500286000.0,139700000.0,855500000.0,499700000.0,778500000.0,744300000.0,656200000.0,410400000.0,309800000.0,120000000.0
,incomeBeforeTaxRatio,0.298529045943737,0.244398302460703,0.252665523841737,0.274489354091756,0.27957894553164,0.284605289395703,0.3102710566288,0.292584589294018,0.293458545433269,0.356294885884428,0.315984443274303,0.284246837868915,0.218518214412787,0.212291018812156,0.208614513038407,0.145896971265856,0.130284975952911,0.0462616258002174,0.0148219751893024,0.0151515151515152,-0.00969606563490584,0.136790680195415,0.110205412455168,0.0553778825113617,-0.147578025702584,-0.131699379639988,0.0609293075393238,0.0544455022599379,0.0175128494421462,0.120722500529175,0.0792068222165864,0.14005829015544,0.140859197577593,0.161173060863585,0.154221938296193,0.16288974183711,0.0625553875827556
,incomeTaxExpense,14527000000.0,9680000000.0,10481000000.0,13372000000.0,15738000000.0,15685000000.0,19121000000.0,13973000000.0,13118000000.0,14030000000.0,8283000000.0,4527000000.0,2280000000.0,2061000000.0,1512000000.0,829000000.0,480000000.0,107000000.0,24000000.0,22000000.0,-15000000.0,306000000.0,75000000.0,20000000.0,0.0,-479000000.0,250000000.0,190108000.0,53100000.0,325100000.0,189900000.0,303600000.0,290300000.0,255900000.0,192900000.0,155800000.0,58800000.0
,netIncome,94680000000.0,57411000000.0,55256000000.0,59531000000.0,48351000000.0,45687000000.0,53394000000.0,39510000000.0,37037000000.0,41733000000.0,25922000000.0,14013000000.0,5704000000.0,4834000000.0,3496000000.0,1989000000.0,1335000000.0,276000000.0,69000000.0,65000000.0,-25000000.0,786000000.0,601000000.0,309000000.0,-1045000000.0,-816000000.0,424000000.0,310178000.0,86600000.0,530400000.0,309800000.0,474900000.0,454000000.0,400300000.0,217500000.0,154000000.0,61200000.0
,netIncomeRatio,0.258817933556942,0.209136112780722,0.212380945059845,0.224142020745872,0.210924208450753,0.211867983064288,0.228457736987356,0.216143767608523,0.216704698379264,0.266650906023973,0.239466415394138,0.214840935224224,0.156115718312943,0.148834631608116,0.145630259101891,0.102976960911209,0.0958294451223889,0.0333373595844909,0.0111164813919768,0.0113200975269941,-0.00466157001678165,0.0984592258549418,0.0979784805999348,0.0520114458845312,-0.147578025702584,-0.0829858639275908,0.0383294160188031,0.0337562854047146,0.0108562116083741,0.0748465391942426,0.049106010651788,0.0854382556131261,0.0859197577592733,0.0983199882104436,0.081733117883582,0.0809716599190283,0.0319032476672053
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,5.66902928112,3.31,2.9925,3.0025,2.3175,2.0875,2.32,1.6225,1.429643,1.594286,1.001786,0.550357,0.228214,0.195714,0.144286,0.084286,0.058929,0.013214,0.003393,0.003214,-0.00125,0.043214,0.0375,0.020893,-0.074018,-0.058839,0.030804,0.023304,0.006607,0.03875,0.023036,0.03375,0.031607,0.0275,0.014821,0.010714,0.004464
,EPSDiluted,5.61402044089,3.28,2.9725,2.9775,2.3025,2.0775,2.305,1.6125,1.419643,1.576786,0.988571,0.541071,0.224643,0.191429,0.140357,0.081071,0.055714,0.012679,0.003393,0.003214,-0.00125,0.038929,0.032232,0.01875,-0.074018,-0.058839,0.030804,0.023304,0.006607,0.03875,0.023036,0.03375,0.031607,0.0275,0.014821,0.010714,0.004464
,weightedAverageShsOut,16701272000.0,17352119000.0,18471336000.0,19821508000.0,20868968000.0,21883280000.0,23013684000.0,24342288000.0,25909268000.0,26174904000.0,25879224000.0,25464908000.0,25004448000.0,24684576000.0,24208660000.0,23633624000.0,22636292000.0,20809040000.0,20195336000.0,19881232000.0,19354328000.0,18175808000.0,16033584000.0,14781088000.0,14118944000.0,13858208000.0,13781264000.0,13298320000.0,13107027027.0,13687741935.0,13448682171.0,14071111111.0,14363841808.0,14556363636.0,14674698795.0,14373333333.0,13708800000.0
,weightedAverageShsOutDil,16864919000.0,17528214000.0,18595652000.0,20000436000.0,21006768000.0,22001124000.0,23172276000.0,24490652000.0,26086536000.0,26469940000.0,26226060000.0,25891936000.0,25396140000.0,25259892000.0,24900176000.0,24570728000.0,23989840000.0,21689416000.0,20354096000.0,20259960000.0,19354328000.0,20178144000.0,19506368000.0,18806704000.0,14118944000.0,13858208000.0,13781264000.0,13306720000.0,13107027027.0,13687741935.0,13448682171.0,14071111111.0,14363841808.0,14556363636.0,14674698795.0,14373333333.0,13708800000.0
